Event,Distance (R_sun),Time,Notes
E1,35.6,2018-11-06 03:27,Perihelion
E2,35.6,2019-04-04 22:39,Perihelion
E3,35.6,2019-09-01 17:50,Perihelion
E4,27.8,2020-01-29 09:37,Perihelion
E5,27.8,2020-06-07 08:23,Perihelion
E6,20.3,2020-09-27 09:16,Perihelion
E7,20.3,2021-01-17 17:40,Perihelion
E8,15.9,2021-04-29 08:48,Perihelion
E9,15.9,2021-08-09 19:11,Perihelion
E10,13.3,2021-11-21 08:23,Perihelion
E11,13.3,2022-02-25 15:38,Perihelion
E12,13.3,2022-06-01 22:51,Perihelion
E13,13.3,2022-09-06 06:04,Perihelion
E14,13.3,2022-12-11 13:16,Perihelion
E15,13.3,2023-03-17 20:30,Perihelion
E16,13.3,2023-06-22 03:46,Perihelion
E17,11.4,2023-09-27 23:28,Perihelion
E18,11.4,2023-12-29 00:54,Perihelion
E19,11.4,2024-03-30 02:20,Perihelion
E20,11.4,2024-06-30 03:46,Perihelion
E21,11.4,2024-09-30 05:13,Perihelion
E22,9.9,2024-12-24 11:41,Perihelion
E23,9.9,2025-03-22 22:25,Perihelion
E24,9.9,2025-06-19 09:09,Perihelion
